Commodity,Colombo,Dambulla,Nuwara Eliya
Beans,450- 550,350- 450,400 - 440
Carrot,350- 400,300- 380,350 - 360
Leeks,300- 350,300- 400,320 - 330
Beet root,-,500- 600,-
Beet root (N Eliya),700- 750,680- 700,480 - 520
Knolkhol,300- 350,300- 350,330 - 340
Raddish,120- 150,80- 100,100 - 120
Cabbage (N'Eliya),-,-,180 - 200
Cabbage (Kandy),180- 230,160- 200,-
Tomato,400- 500,450- 500,520 - 550
Ladies Fingers,180- 200,200- 240,-
Brinjals,280- 350,260- 350,-
Capsicum,600- 700,500- 600,640 - 650
Pumpkin,100- 120,80- 100,-
Cucumber,120- 130,70- 90,-
Bitter Gourd,450- 550,350- 450,-
Snake Gourd,300- 350,180- 230,-
Drumstick,-,-,-
Luffa,450- 500,400- 450,-
Long Beans,250- 350,160- 230,-
Ash Plantains,160- 200,150- 180,-
Green Chillies,550- 600,700- 1000,-
Lime,160- 200,150- 160,-
Sweet Potatoe,200- 230,150- 170,-
Manioc,80- 130,80- 100,-
Eggplant,300- 350,350- 450,-
Potato(Imported),-,130- 180,-
Potato (Welimada),-,-,-
Potato (Nuwaraeliya),400- 420,-,330 - 340
B'Onion Imported,-,130- 160,-
Big-onion Local,-,-,-
Banana,-,-,-
Ambul(Rs/Kg),-,-,-
Kolikuttu,-,-,-
Seeni,-,-,-
Anamalu (Rs/Fruits),-,-,-
Papaya (Rs/Kg),-,-,-
Passion Fruits(Rs/Fruit,s) -,-,-
Other Fruits (Rs/Fruit),-,-,-
Pineapple - Large,-,-,-
- Medium,-,-,-
- Small,-,-,-
Mango - Betti,-,-,-
- Karathakolo,mban -,-,-
Woodapple,-,-,-
Avocado,-,-,-
Orange,-,-,-
